Model,Added_Physics,Primary_Source_or_Basis,What_Is_Supported,Engineering_Quantity_Gained,Known_Limitations,Status_for_Paper_1
1_Baseline_Translation,Center-of-mass translation under gravity; no rotation; no lift; no contact-point kinematics,Classical Newtonian projectile representation; paper framework,Minimum translational representation and reference for all higher-fidelity models,Trajectory/impact velocity/global force baseline,Does not represent rotation; contact-point motion; off-center loading,Locked baseline
2_Aerodynamic_Fidelity,Translational drag; atmosphere/air properties; finite fall trajectory,Theis et al. 2026 natural-hail drag; Standard Atmosphere for baseline atmosphere,Improved pre-impact velocity and trajectory representation,C_D(Re,Psi); V_impact; height convergence,Theis natural-hail drag formulation is primarily characterized for Re ~1e4-1e5 in Newton regime; lower-Re continuous formulation has its own stated limits; some large-hail Psi cases require extrapolation,Locked with explicit evidence-status flags
3_Environmental_Fidelity,Finite release height; altitude-dependent air density/viscosity; wind profile sensitivity,Trajectory literature plus U.S. Standard Atmosphere; controlled wind cases,Actual pre-impact state as a function of fall history,Height sensitivity; atmospheric effects; wind-induced incidence,Full 3-D atmospheric wind field not modeled; primary wind profile is controlled sensitivity rather than storm-specific reconstruction,Locked scope
4_Rigid_Body_Euler,Rotation; Euler angular dynamics; lift; aerodynamic moment; contact-point velocity, List et al. 1973 oblate-spheroid experiments; Lin et al. 2024 natural-hail shape; Theis et al. 2026 natural-hail drag,Damage-relevant contact kinematics beyond global force; rotational state,omega; gamma; beta; v_c; F_t conditional on interface model,List C_D/C_L/C_M data are selected slices, not a complete 3-D coefficient surface; C_M low-angle behavior is incompletely published; chi<0.50 or unsupported combinations require explicit extrapolation flags,Primary mechanics framework with documented limits
Common_Contact_Normal,Nonlinear viscoelastic normal contact law,Sun et al. 2015,Experimentally calibrated projectile contact response,Peak normal contact force F_n(t); indentation; contact impulse,Calibration is for spherical simulated hail ice and a custom instrumented target, not asphalt shingles; velocity calibration range is 7.9-29.1 m/s for the velocity correlations,Use as projectile-contact law; not roof-assembly calibration
Common_Contact_Tangential,Conditional tangential friction response,No direct hailstone-asphalt-shingle dynamic friction measurement identified,Separates tangential kinematics from conditional tangential force,v_t is primary kinematic quantity; F_t depends on mu,Dynamic hailstone-shingle mu is unresolved; mu is sensitivity parameter,Explicit sensitivity only; experimental Paper 4 target
Validation_Calibration,Independent checks against source experiments and published parameterizations,List et al. 1973; Sun et al. 2015; Theis et al. 2026; Heymsfield et al. 2020 corrigendum,Source-consistency validation and boundary identification,Re; V_t; C_D; contact force calibration; qualitative rotational behavior,Exact reproduction of some historical List trajectories is limited by incompletely published low-angle C_M and selected coefficient slices; fully coupled contact-feedback solver remains unresolved in current implementation,Report validated components and unresolved components separately
Sensitivity_Density,Nominal bulk density and uncertainty treatment,Theis et al. 2026 original-mass hailstones mean density 0.79 +/- 0.18 g/cm3; broader observational literature context,Mass/inertia uncertainty propagation,rho_h; mass; inertia; resulting pre-impact state,Joint distribution of density-shape-size is not fully characterized; use controlled factorial sensitivity not probabilistic interpretation,Locked nominal 790 kg/m3 with sensitivity range
Sensitivity_Shape,Natural-hail shape variation,Lin et al. 2024; Theis et al. 2026,Mass/volume/inertia/drag sensitivity to shape,Dmax; aspect ratio; sphericity; I,Not every natural-hail shape is covered by List aerodynamic data; Theis sphericity is not identical to aspect ratio,Use P25/P50/P75 shape sensitivity plus evidence-status flags
Sensitivity_Height,Fall-height convergence,Trajectory analysis using altitude-varying atmosphere and natural-hail drag,Determines whether added fall height materially changes impact state,V_impact(H); later omega/gamma(H),Translational convergence does not guarantee rotational/contact convergence,Locked analysis question
Sensitivity_K,Rotational damping uncertainty,List et al. 1973 damping formulation and Figure 15,Robustness of rotational response to damping assumptions,omega; gamma; beta; contact kinematics,Exact dimensional damping for all modern cases is not directly tabulated; use K as sensitivity rather than universal property,Locked sensitivity
Open_Question_Contact_Feedback,Contact force feedback on translation and Euler rotation during sub-ms impact,Mechanics formulation proposed from M_C = r x F; numerical implementation not yet robust,Would determine whether fully coupled impact feedback changes omega/v_c/F_n/F_t,Specialized impulse/event-driven solver required; current generic stiff and explicit attempts did not converge reliably,Open and deliberately exposed for future work
CSV_MATRIX_PURPOSE,This matrix distinguishes literature-supported physics from assumptions and unresolved questions,,It is intended to guide the final manuscript and the interactive simulation architecture,,,
